Número;Vértice;Deflexão;Tipo;Altura/carga;Posição;Vão de frente;Distância progressiva;Nível 1;Circuito;Nível 2;Circuito;Âncora;Estais;
2/10B;B11; ;2N3.TR.B;14/2500;TOPO;56.69;2726.22;XLPE 2X300mm²;SLA02-C10;XLPE 2X300mm²;SLA02-C9;0;0;
2/11B;B12; ;2N3.TR-CH.B;14/1500;TOPO;30;2782.91;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
2/12B;; ;2N4;16/1000;TOPO;48.77;2812.91;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
2/13B;B13;23°11'25'' D;2N4;16/1500;GAVETA;71;2861.68;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
2/14B;; ;2N1;14/1000;GAVETA;71.96;2932.68;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/1B;B14;21°56'03'' D;2N4;15/2000;GAVETA;77;3004.64;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/2B;; ;2N1;14/1000;GAVETA;76.41;3081.64;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/3B;; ;2N4;15/1500;TOPO;75;3158.05;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/4B;; ;2N4;15/1500;TOPO;45.59;3233.05;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/5B;; ;2N4;17/1500;TOPO;79;3278.64;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/6B;; ;2N4;17/1500;TOPO;48;3357.64;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/7B;; ;2N1;13/1000;GAVETA;47.54;3405.64;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/8B;B15;26°56'25'' E;2N4;14/2000;GAVETA;70;3453.18;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/9B;; ;2N4;15/1500;TOPO;56;3523.18;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/10B;; ;2N4;19/1500;TOPO;56.07;3579.18;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/11B;B16;55°01'00'' D;2N4;19/2500;GAVETA;39.17;3635.25;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
3/12B;B17;04°43'57'' E;2N4;17/1000;TOPO;31.93;3674.42;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
